,bid,ask,bid_vol,ask_vol,time
0,1.16877,1.1688,1200000.0477,2700000.0477,2018-05-31T12:45:00.520000Z
1,1.16879,1.1688100000000001,1500000.0,1200000.0477,2018-05-31T12:45:00.822000Z
2,1.16878,1.1688200000000002,1759999.9905,5699999.8093,2018-05-31T12:45:00.926000Z
3,1.16877,1.1688,4010000.2289,1000000.0,2018-05-31T12:45:01.134000Z
4,1.16876,1.16878,1200000.0477,1500000.0,2018-05-31T12:45:01.617000Z
5,1.16873,1.16877,6789999.9619,4570000.1717,2018-05-31T12:45:01.773000Z
6,1.16875,1.16877,2059999.9428,1000000.0,2018-05-31T12:45:01.931000Z
7,1.1687400000000001,1.16877,1120000.0048,2319999.9332,2018-05-31T12:45:02.191000Z
8,1.16873,1.16876,1200000.0477,1200000.0477,2018-05-31T12:45:02.295000Z
9,1.1687200000000002,1.16875,6840000.1526,1000000.0,2018-05-31T12:45:02.807000Z
10,1.1687200000000002,1.16876,4570000.1717,1100000.0238,2018-05-31T12:45:03.326000Z
11,1.1687200000000002,1.16875,4570000.1717,1000000.0,2018-05-31T12:45:03.875000Z
12,1.16873,1.16875,1100000.0238,1950000.0477,2018-05-31T12:45:04.444000Z
13,1.16868,1.1687,1500000.0,1000000.0,2018-05-31T12:45:04.838000Z
14,1.16866,1.16869,1100000.0238,1000000.0,2018-05-31T12:45:05.007000Z
15,1.16866,1.16868,1000000.0,1000000.0,2018-05-31T12:45:05.593000Z
16,1.16865,1.1687,5139999.8665,2700000.0477,2018-05-31T12:45:06.114000Z
17,1.16865,1.16867,12630000.1144,1000000.0,2018-05-31T12:45:06.625000Z
18,1.1686200000000002,1.16865,1500000.0,4050000.1907,2018-05-31T12:45:06.786000Z
19,1.1686200000000002,1.16863,1000000.0,1250000.0,2018-05-31T12:45:06.994000Z
20,1.1686,1.16863,6449999.8093,1000000.0,2018-05-31T12:45:07.047000Z
21,1.1686,1.1686200000000002,5059999.9428,1000000.0,2018-05-31T12:45:07.889000Z
22,1.1686,1.16863,4690000.0572,1100000.0238,2018-05-31T12:45:08.430000Z
23,1.1686,1.1686200000000002,2140000.1049,1200000.0477,2018-05-31T12:45:09.147000Z
24,1.16859,1.1686,5699999.8093,1500000.0,2018-05-31T12:45:09.205000Z
25,1.16856,1.16859,2250000.0,1100000.0238,2018-05-31T12:45:09.257000Z
26,1.16856,1.16858,1200000.0477,1200000.0477,2018-05-31T12:45:09.796000Z
27,1.1685100000000002,1.16854,1500000.0,1200000.0477,2018-05-31T12:45:10.053000Z
28,1.1685100000000002,1.1685200000000002,2140000.1049,1000000.0,2018-05-31T12:45:11.107000Z
29,1.1685,1.1685200000000002,5809999.9428,1200000.0477,2018-05-31T12:45:11.387000Z
30,1.1685,1.16853,4760000.2289,1000000.0,2018-05-31T12:45:11.440000Z
31,1.1685100000000002,1.1685200000000002,1690000.0572,1000000.0,2018-05-31T12:45:11.943000Z
32,1.1685,1.1685200000000002,1570000.0525,1100000.0238,2018-05-31T12:45:12.451000Z
33,1.16849,1.1685200000000002,7869999.8856,1100000.0238,2018-05-31T12:45:13.667000Z
34,1.1685,1.1685100000000002,1690000.0572,1100000.0238,2018-05-31T12:45:14.206000Z
35,1.1685,1.1685200000000002,1190000.0572,1100000.0238,2018-05-31T12:45:14.712000Z
36,1.16849,1.1685200000000002,4500000.0,1570000.0525,2018-05-31T12:45:15.085000Z
37,1.16849,1.16853,7500000.0,3069999.9332,2018-05-31T12:45:15.621000Z
