,bid,ask,bid_vol,ask_vol,time
0,1.1582700000000001,1.1583,3000000.0,1500000.0,2018-09-28T12:45:00.183000Z
1,1.1583100000000002,1.15833,1000000.0,2250000.0,2018-09-28T12:45:00.541000Z
2,1.15829,1.1583200000000002,2250000.0,8250000.0,2018-09-28T12:45:00.857000Z
3,1.1582700000000001,1.15829,2700000.0477,7119999.8856,2018-09-28T12:45:01.206000Z
4,1.15826,1.15828,3450000.0477,2250000.0,2018-09-28T12:45:01.311000Z
5,1.15825,1.1582700000000001,1000000.0,2059999.9428,2018-09-28T12:45:01.832000Z
6,1.15823,1.15825,3750000.0,1250000.0,2018-09-28T12:45:02.883000Z
7,1.15823,1.15826,2250000.0,5059999.9428,2018-09-28T12:45:03.433000Z
8,1.15823,1.15825,3000000.0,1000000.0,2018-09-28T12:45:03.972000Z
9,1.15822,1.15824,4949999.8093,1000000.0,2018-09-28T12:45:05.216000Z
10,1.1582100000000002,1.15823,6750000.0,4309999.9428,2018-09-28T12:45:12.946000Z
11,1.15823,1.15824,1000000.0,1950000.0477,2018-09-28T12:45:13.050000Z
12,1.15822,1.15824,1500000.0,1500000.0,2018-09-28T12:45:13.585000Z
13,1.15822,1.15825,2250000.0,6820000.1717,2018-09-28T12:45:25.132000Z
14,1.15822,1.15824,1000000.0,1000000.0,2018-09-28T12:45:26.471000Z
15,1.1582100000000002,1.15824,3190000.0572,1570000.0525,2018-09-28T12:45:26.982000Z
16,1.15822,1.15824,1000000.0,1000000.0,2018-09-28T12:45:27.544000Z
17,1.1582000000000001,1.15822,2700000.0477,1000000.0,2018-09-28T12:45:28.731000Z
18,1.15818,1.1582100000000002,3000000.0,4119999.8856,2018-09-28T12:45:28.838000Z
19,1.1581700000000001,1.1582000000000001,4010000.2289,1950000.0477,2018-09-28T12:45:29.348000Z
20,1.15818,1.1582000000000001,1000000.0,2619999.8856,2018-09-28T12:45:29.898000Z
21,1.1581700000000001,1.1582000000000001,2619999.8856,2250000.0,2018-09-28T12:45:30.445000Z
22,1.1581700000000001,1.15819,1000000.0,2619999.8856,2018-09-28T12:45:30.994000Z
23,1.15819,1.1582100000000002,5250000.0,2250000.0,2018-09-28T12:45:32.934000Z
24,1.1582100000000002,1.15823,1860000.0143,3069999.9332,2018-09-28T12:45:32.986000Z
25,1.15822,1.15825,1000000.0,6070000.1717,2018-09-28T12:45:33.044000Z
26,1.15822,1.15824,1500000.0,1000000.0,2018-09-28T12:45:34.070000Z
27,1.15822,1.15825,1500000.0,5139999.8665,2018-09-28T12:45:34.581000Z
28,1.15822,1.15824,1000000.0,1000000.0,2018-09-28T12:45:36.229000Z
29,1.15823,1.15824,1250000.0,1000000.0,2018-09-28T12:45:36.743000Z
30,1.15823,1.15825,1000000.0,1500000.0,2018-09-28T12:45:37.265000Z
31,1.15822,1.15825,1870000.0048,3000000.0,2018-09-28T12:45:38.949000Z
32,1.15823,1.15825,1000000.0,1950000.0477,2018-09-28T12:45:39.470000Z
33,1.15822,1.15825,2250000.0,1500000.0,2018-09-28T12:45:39.988000Z
34,1.15823,1.15825,1000000.0,1000000.0,2018-09-28T12:45:41.124000Z
35,1.15822,1.15825,1000000.0,1000000.0,2018-09-28T12:45:41.854000Z
36,1.15823,1.15825,1000000.0,1500000.0,2018-09-28T12:45:42.454000Z
37,1.15824,1.15826,1000000.0,5510000.2289,2018-09-28T12:45:44.145000Z
38,1.15826,1.1582700000000001,1690000.0572,1200000.0477,2018-09-28T12:45:44.198000Z
39,1.15828,1.15829,1500000.0,1000000.0,2018-09-28T12:45:44.378000Z
40,1.1583,1.1583100000000002,1000000.0,3190000.0572,2018-09-28T12:45:44.690000Z
41,1.1583,1.1583200000000002,1000000.0,4949999.8093,2018-09-28T12:45:46.864000Z
42,1.1583100000000002,1.15833,1000000.0,8319999.6948,2018-09-28T12:45:47.402000Z
43,1.1583100000000002,1.15833,2250000.0,2700000.0477,2018-09-28T12:45:47.529000Z
44,1.15829,1.1583100000000002,1500000.0,1950000.0477,2018-09-28T12:45:47.687000Z
45,1.15828,1.1583,1000000.0,2440000.0572,2018-09-28T12:45:48.020000Z
46,1.15828,1.1583100000000002,1000000.0,5510000.2289,2018-09-28T12:45:48.320000Z
47,1.15828,1.1583100000000002,2440000.0572,7199999.8093,2018-09-28T12:45:49.522000Z
48,1.15829,1.1583100000000002,1000000.0,4949999.8093,2018-09-28T12:45:50.129000Z
49,1.15828,1.1583,1000000.0,1500000.0,2018-09-28T12:45:50.737000Z
50,1.15828,1.1583,1000000.0,2890000.1049,2018-09-28T12:45:51.249000Z
51,1.1582700000000001,1.15829,2440000.0572,1250000.0,2018-09-28T12:45:51.786000Z
52,1.15828,1.1583100000000002,1190000.0572,1950000.0477,2018-09-28T12:45:52.102000Z
53,1.1583,1.1583100000000002,1000000.0,1200000.0477,2018-09-28T12:45:52.632000Z
54,1.1583100000000002,1.15833,1000000.0,5320000.1717,2018-09-28T12:45:52.738000Z
55,1.1583,1.1583100000000002,1000000.0,1200000.0477,2018-09-28T12:45:52.897000Z
56,1.15829,1.1583100000000002,1000000.0,7010000.2289,2018-09-28T12:45:53.615000Z
57,1.15828,1.1583,1200000.0477,1870000.0048,2018-09-28T12:45:53.667000Z
58,1.15828,1.1583,1000000.0,1759999.9905,2018-09-28T12:45:54.210000Z
59,1.1582700000000001,1.1583,1000000.0,3259999.9905,2018-09-28T12:45:55.627000Z
60,1.15825,1.1582700000000001,1000000.0,1870000.0048,2018-09-28T12:45:56.133000Z
